product_id,product_name,category,subcategory,brand,price,cost,description,is_active,created_at,updated_at
1,Laptop Pro,Electronics,Computers,TechCorp,1299.99,800.00,High-performance laptop for professionals,true,2024-01-01,2024-01-01
2,Smartphone X,Electronics,Phones,MobileTech,899.99,550.00,Latest smartphone with advanced features,true,2024-01-01,2024-01-01
3,Wireless Headphones,Electronics,Audio,SoundMax,199.99,120.00,Noise-cancelling wireless headphones,true,2024-01-01,2024-01-01
4,Desk Chair,Home & Garden,Furniture,ComfortCo,299.99,180.00,Ergonomic office chair,true,2024-01-01,2024-01-01
5,Coffee Maker,Home & Garden,Appliances,BrewMaster,89.99,55.00,Programmable coffee maker,true,2024-01-01,2024-01-01
6,Running Shoes,Sports & Outdoors,Footwear,AthleticPro,129.99,80.00,Lightweight running shoes,true,2024-01-01,2024-01-01
7,Yoga Mat,Sports & Outdoors,Fitness,ZenFit,39.99,25.00,Non-slip yoga mat,true,2024-01-01,2024-01-01
8,Backpack,Clothing & Accessories,Bags,TravelGear,79.99,45.00,Durable travel backpack,true,2024-01-01,2024-01-01
9,Watch Classic,Clothing & Accessories,Jewelry,TimePiece,249.99,150.00,Classic analog watch,true,2024-01-01,2024-01-01
10,Bluetooth Speaker,Electronics,Audio,AudioTech,149.99,90.00,Portable Bluetooth speaker,true,2024-01-01,2024-01-01